movement,threshold,roi_edges,test_tp,test_tn,test_fp,test_fn,test_acc,test_tpr,test_fpr
1,1.3016636192798612,116,52,6,1,45,0.5576923076923077,0.5360824742268041,0.14285714285714285
2,0.5075379222631454,95,32,6,1,37,0.5,0.463768115942029,0.14285714285714285
3,0.485498046875,45,60,5,2,6,0.8904109589041096,0.9090909090909091,0.2857142857142857
4,0.6321577996015548,110,59,4,3,9,0.84,0.8676470588235294,0.42857142857142855
5,0.8026643633842467,140,8,7,0,58,0.2054794520547945,0.12121212121212122,0.0
